Questionnaire;Département;q1;q2a_1;q2a_2;q2b_1;q2b_2;q2c_1;q2c_2;q3a;q3b;q3b1_1;q3b1_2;q3b1_3;q3b1_4;q3b1_5;q3b1_6;q3b1_7;q3b1_8;q3c;q4a_1;q4a_2;q4a_3;q4a_4;q4a_5;q4a_6;q4b_1;q4b_2;q4b_3;q4b_4;q4b_5;q4b_6;q4c_1;q4c_2;q4c_3;q4c_4;q4c_5;q4c_6;q5;q6;q7;q8;q9_1;q9_2;q9_3;q9_4;q9_5;q9_6;q10;q11;q11b1;q11b2;q11b3;q11b4;q11b5;q11b6;q11b7;q11b8;q11b9;q11b10;q11b11;q11b12;q11b13;q12;q13;q13b_1;q13b_2;q13b_3;q13b_4;q13b_5;q13b_6;q13b_7;q14;q15;q16_1;q16_2;q16_3;q16_4;q16_5;q16_6;q17;q18;q18b;q19;q20parents_1;q20parents_2;q20parents_3;q20parents_4;q20parents_5;q20parents_6;q20enfants_1;q20enfants_2;q20enfants_3;q20enfants_4;q20enfants_5;q20enfants_6;q21;q21b;q22;q23;q23b;q23b_autre;s1;villesstd;classville;s2;ageaine;s4_1;s4_2;s4_3;s5;s5b;S6_1;age;s8_1;s9_1;s6_2;agecon;s8_2;S9_2;agemen;cspmen;cspgroup;classeage;classenbenfant;classeageaine;;;;;;
11;1;1;2;1;2;2;1;1;1;2;1;1;0;1;0;0;0;1;999;1;1;1;1;1;1;2;2;2;2;2;2;1;2;2;1;1;1;4;4;5;3;1;1;0;0;0;0;3;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;2;0;1;0;0;0;0;1;4;2;1;0;0;0;0;0;2;2;995;4;999;1;999;1;1;999;2;2;2;2;2;999;1;2;4;1;4;;LES ROTTEREAUX;LESROTTEREAUX;3;3;18;5;997;997;1;1;2;43;1;2;1;42;1;6;42;6;3;3;3;4;;;;;;
12;1;1;2;1;3;3;1;2;1;1;1;1;1;1;0;0;0;0;1;2;3;2;2;3;2;3;3;3;2;3;2;1;1;1;1;1;1;4;4;5;3;1;1;1;0;0;0;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;2;2;0;1;0;1;0;0;0;2;2;1;0;0;0;0;0;2;1;1;3;1;2;1;1;2;999;2;2;2;2;2;999;1;2;3;1;4;;BERVILLE LA CAMPAGNE;BERVILLELACAMPAGNE;3;3;20;5;2;1;1;999;1;45;1;3;2;42;2;8;45;3;1;3;3;4;;;;;;
13;1;3;2;2;1;1;1;2;3;1;0;1;0;0;0;0;0;1;999;5;3;2;5;3;3;4;1;3;4;3;3;3;2;1;3;2;2;2;2;2;2;0;0;0;0;1;0;5;2;995;995;995;995;995;995;995;995;995;995;995;995;995;2;2;1;0;0;0;0;0;0;999;1;0;0;0;0;0;1;3;2;995;2;2;2;2;2;2;3;2;2;2;2;2;3;1;2;1;2;995;;EVREUX;EVREUX;2;3;14;997;997;997;1;999;1;44;1;3;2;43;1;3;44;3;1;3;3;3;;;;;;
14;1;2;4;3;3;1;1;1;2;3;995;995;995;995;995;995;995;995;1;3;2;2;2;3;3;3;3;3;3;3;3;1;2;2;2;2;2;1;2;2;2;0;0;0;0;1;0;5;2;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;4;2;0;0;0;1;0;0;3;2;995;4;2;2;2;2;2;3;2;2;2;2;2;3;1;2;3;2;995;;ECQUETOT;ECQUETOT;3;3;23;5;5;5;1;2;2;51;1;3;1;52;1;3;52;3;1;4;3;4;;;;;;
15;1;2;4;1;1;1;2;2;2;1;1;0;0;0;0;1;0;0;2;5;2;5;5;2;2;4;3;4;4;3;3;3;2;3;3;2;2;3;2;5;3;0;0;1;0;1;0;4;1;0;0;0;0;0;0;0;0;0;0;1;0;0;999;999;995;995;995;995;995;995;995;999;2;0;0;0;0;0;0;2;2;995;999;2;2;2;2;2;3;2;2;2;2;2;3;1;2;4;4;995;;VITOT;VITOT;3;1;4;997;997;997;1;1;1;34;1;3;2;33;1;5;34;3;1;2;1;1;;;;;;
16;1;3;3;2;3;1;2;1;2;1;1;1;1;0;0;1;0;0;1;3;2;3;3;2;1;2;2;2;3;2;1;2;2;2;2;2;2;2;2;1;3;0;0;0;0;1;0;4;2;995;995;995;995;995;995;995;995;995;995;995;995;995;2;2;1;0;0;0;0;0;0;999;1;0;0;0;0;0;1;3;2;995;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;3;1;1;;EVREUX;EVREUX;2;2;18;4;997;997;1;999;1;47;1;3;2;51;1;4;47;3;1;3;2;4;;;;;;
17;1;2;3;3;1;1;2;2;2;1;1;0;0;0;0;0;0;0;2;4;2;2;5;2;5;3;3;3;4;3;4;1;2;1;3;2;3;2;2;2;2;0;0;0;0;1;0;5;2;995;995;995;995;995;995;995;995;995;995;995;995;995;2;2;1;1;0;0;0;0;0;3;2;0;0;0;1;0;0;3;999;999;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;4;;LE BOSC ROGER EN ROUMOIS;LEBOSCROGERENROUMOIS;2;3;13;997;997;997;1;999;2;42;1;3;1;41;1;3;41;3;1;3;3;3;;;;;;
18;1;2;3;2;999;1;2;2;2;1;0;0;1;0;0;0;0;0;2;2;3;3;5;2;3;3;3;3;4;1;3;2;2;2;3;2;2;2;2;1;3;0;0;0;0;1;0;4;2;995;995;995;995;995;995;995;995;995;995;995;995;995;2;2;1;1;0;0;0;0;0;3;1;0;0;0;0;1;0;3;2;995;4;999;999;999;999;999;999;2;2;2;2;2;3;1;2;3;1;6;;LA CHAPELLE REANVILLE;LACHAPELLEREANVILLE;2;3;14;997;997;997;1;999;2;43;1;3;1;44;1;3;44;3;1;3;3;3;;;;;;
19;1;2;2;2;1;1;1;1;2;1;0;0;1;1;0;0;0;0;2;3;3;3;5;3;2;3;2;2;4;3;2;2;2;2;3;2;1;2;2;1;1;0;0;1;0;1;0;3;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;2;1;1;0;0;0;0;0;2;2;0;1;0;0;0;0;3;2;995;2;2;2;2;2;2;3;2;2;2;2;3;3;1;2;3;1;4;;AMFREVILLE SUR ITON;AMFREVILLESURITON;3;2;11;997;997;997;1;2;2;38;1;3;1;38;1;3;38;3;1;2;2;2;;;;;;
20;1;2;3;1;3;1;1;1;1;1;0;0;0;1;1;0;0;0;1;5;3;3;5;2;3;4;1;3;3;3;3;3;2;2;2;2;2;3;2;2;3;0;0;1;0;1;0;5;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;4;2;0;0;0;1;0;0;3;2;995;4;2;2;2;2;2;3;2;2;2;2;3;3;1;2;3;2;995;;PORTES;PORTES;3;1;6;997;997;997;1;999;2;44;1;3;1;45;1;3;45;3;1;3;1;2;;;;;;
